Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1913,1038.7,TAS,Gold,1.145248071,0.000181588
1992,1053.0,SA,Gold,1.160970232,0.000184081
1928,1054.8,VIC,Gold,1.162975413,0.000184399
1983,1061.0,QLD,Gold,1.169790518,0.00018548
1953,1062.7,QLD,Iron Ore,,1.16645E-06
1953,1062.7,VIC,Iron Ore,,1.16645E-06
1891,1065.0,TAS,Gold,1.174187872,0.000186177
1964,1069.2,TAS,Gold,1.178885447,0.000186922
1888,1077.4,TAS,Gold,1.187869129,0.000188346
1959,1078.0,VIC,Gold,1.188520617,0.000188449
1977,1084.0,QLD,Gold,1.195148842,0.0001895
1950,1090.4,NT,Gold,1.202167585,0.000190613
1907,1111.5,WA,Iron Ore,,1.21998E-06
1984,1112.0,NSW,Gold,1.226019846,0.000194395
2016,1112.5,TAS,Gold,1.22658108,0.000194484
1934,1123.4,NSW,Gold,1.238616648,0.000196393
2017,1125.9,TAS,Gold,1.241388665,0.000196832
1963,1132.7,TAS,Gold,1.248869019,0.000198018
1966,1135.2,TAS,Gold,1.251612128,0.000198453
1968,1135.4,TAS,Gold,1.25185215,0.000198491
1935,1136.9,QLD,Iron Ore,,1.24786E-06
1935,1136.9,VIC,Iron Ore,,1.24786E-06
1885,1137.1,TAS,Gold,1.253703749,0.000198785
1992,1145.0,TAS,Gold,1.262403528,0.000200164
1986,1148.0,VIC,Gold,1.265711136,0.000200689
1910,1152.2,TAS,Gold,1.270333848,0.000201422
1887,1160.7,TAS,Gold,1.279728997,0.000202911
1892,1163.5,TAS,Gold,1.282814994,0.000203401
1967,1167.1,TAS,Gold,1.286792503,0.000204031
1884,1174.4,TAS,Gold,1.294816097,0.000205303
1912,1181.0,TAS,Gold,1.302051047,0.000206451
1927,1181.1,QLD,Gold,1.302256781,0.000206483
1955,1182.9,VIC,Gold,1.304176957,0.000206788
1940,1185.7,TAS,Iron Ore,,1.30138E-06
1927,1198.5,VIC,Gold,1.321424256,0.000209522
1987,1206.0,VIC,Gold,1.329658214,0.000210828
1956,1208.1,VIC,Gold,1.331985226,0.000211197
1951,1211.2,NT,Gold,1.335379824,0.000211735
1952,1213.8,NSW,Gold,1.338294377,0.000212197
1969,1251.7,TAS,Gold,1.379989636,0.000218808
1921,1255.7,QLD,Gold,1.384447189,0.000219515
1929,1255.8,QLD,Iron Ore,,1.37833E-06
1929,1255.8,VIC,Iron Ore,,1.37833E-06
1952,1273.0,QLD,Iron Ore,,1.39729E-06
1952,1273.0,VIC,Iron Ore,,1.39729E-06
2018,1279.9,TAS,Gold,1.411089148,0.000223739
1893,1280.1,NSW,Iron Ore,,1.40504E-06
1958,1289.9,VIC,Gold,1.422164939,0.000225496
1883,1291.8,TAS,Gold,1.424290849,0.000225833
1906,1300.5,WA,Iron Ore,,1.4274E-06
1993,1301.1,TAS,Gold,1.43449926,0.000227451
1980,1311.0,TAS,Gold,1.445424476,0.000229184
1994,1322.0,TAS,Gold,1.457576665,0.00023111
1970,1335.0,TAS,Gold,1.471885336,0.000233379
